customer_unique_id,total_spending,products_number,customers_number
58f814af5001d06b0d34d8a836ab18eb,859.0,1,1
f75da962fb4ddac1569e90c21803c455,595.99,1,1
576d7fc1b6143c56e16f9190a52957d4,510.0,1,1
bdfe47b4aabb5f74902e1c197e18c549,349.9,1,1
7fbb6d8f1f76288d32ab1a4e74da34c5,349.9,1,1
1ba713c8258f756279a049018ce01177,347.7,2,1
f65b9cde425984c1041a2b0b1b4f99ad,329.9,1,1
9cdfe712401ae2a44d3056afbc2b77a8,310.9,1,1
2e8561bf8b43a8b182c53dfb53fc9a7f,299.8,2,1
8a0793d04e0f4be13434516ee7037104,289.98,2,1
eb5bdaa9ace81785a5c3526bbd8d759b,225.98,2,1
c237c66fa20c6bb05c90ac56fdd95173,203.37,1,1
7cbf4e7c9f78c6855c9c0caec1a50e38,174.4,1,1
e2c8e74f4e59280c388ac4e3ebd90933,139.8,2,1
b85aeee30d059f6d59decd7ea19c12da,135.9,1,1
43b1465a233a9c1c822dbc043a864e2b,129.99,1,1
02251550f4d16aca44ce66e4263c0522,129.99,1,1
9eb6958dbab7b4136d22e411cfa8ff03,124.80000000000001,2,1
0ac4d05bbe5f9dd1011eeadba1e76955,117.0,3,1
71683fbf22478b08ea6f36050eb0994d,109.99,1,1
a696ba5db33cf4835a04dd5965a86781,89.9,1,1
363e10681301da394e9e505ea41c6e50,89.9,1,1
9394f9f2e04e9d3316d930eb8f49f7cd,87.99,1,1
aaa1c67c77562ad0d99806a54088fc9e,59.9,1,1
b6e333234b9abfc51d7e00157d29f8f7,49.8,2,1
a5d3bfee5b23b430b95c4ae295e1028a,49.5,5,1
fdb86bf15a984dc8b14912e4ddc78f79,47.8,2,1
48a5985f8d97849159f7675e5f05ed75,44.99,1,1
746db413bf377af701e6dabdfb3509f5,43.98,2,1
2a20697e5508f62175c47760b460bd01,42.99,1,1
2abd1358778a9cc18d04cf7211b799b9,42.0,1,1
cb4241101b3bfb3ecee4b2810bf9a4c2,37.99,1,1
122abbabd602cf9a5af359b07a3c0a38,29.9,1,1
83f7b04d3399b939076a8cc0572b4000,26.99,1,1
9476d63d5d33e182ed23f661fda9214b,24.9,1,1
b8d76f06a0601ac8fe3fa52e6fe8742a,20.9,1,1
1f120499af090bbc76911420dd1f93ad,19.9,1,1
39382392765b6dc74812866ee5ee92a7,19.9,1,1
c2fef0a4a3a237288e3ab4bb2df94c18,17.95,1,1
